dex_id,pokemon_name,variant,source,image_path
1,bulbasaur,front,sprite,001_bulbasaur/front.png
1,bulbasaur,back,sprite,001_bulbasaur/back.png
1,bulbasaur,shiny_front,sprite,001_bulbasaur/shiny_front.png
1,bulbasaur,shiny_back,sprite,001_bulbasaur/shiny_back.png
1,bulbasaur,official_art,official-artwork,001_bulbasaur/official_artwork.png
1,bulbasaur,home_art,pokemon_home,001_bulbasaur/home_art.png
2,ivysaur,front,sprite,002_ivysaur/front.png
2,ivysaur,back,sprite,002_ivysaur/back.png
2,ivysaur,shiny_front,sprite,002_ivysaur/shiny_front.png
2,ivysaur,shiny_back,sprite,002_ivysaur/shiny_back.png
2,ivysaur,official_art,official-artwork,002_ivysaur/official_artwork.png
2,ivysaur,home_art,pokemon_home,002_ivysaur/home_art.png
3,venusaur,front,sprite,003_venusaur/front.png
3,venusaur,back,sprite,003_venusaur/back.png
3,venusaur,shiny_front,sprite,003_venusaur/shiny_front.png
3,venusaur,shiny_back,sprite,003_venusaur/shiny_back.png
3,venusaur,official_art,official-artwork,003_venusaur/official_artwork.png
3,venusaur,home_art,pokemon_home,003_venusaur/home_art.png
4,charmander,front,sprite,004_charmander/front.png
4,charmander,back,sprite,004_charmander/back.png
4,charmander,shiny_front,sprite,004_charmander/shiny_front.png
4,charmander,shiny_back,sprite,004_charmander/shiny_back.png
4,charmander,official_art,official-artwork,004_charmander/official_artwork.png
4,charmander,home_art,pokemon_home,004_charmander/home_art.png
5,charmeleon,front,sprite,005_charmeleon/front.png
5,charmeleon,back,sprite,005_charmeleon/back.png
5,charmeleon,shiny_front,sprite,005_charmeleon/shiny_front.png
5,charmeleon,shiny_back,sprite,005_charmeleon/shiny_back.png
5,charmeleon,official_art,official-artwork,005_charmeleon/official_artwork.png
5,charmeleon,home_art,pokemon_home,005_charmeleon/home_art.png
6,charizard,front,sprite,006_charizard/front.png
6,charizard,back,sprite,006_charizard/back.png
6,charizard,shiny_front,sprite,006_charizard/shiny_front.png
6,charizard,shiny_back,sprite,006_charizard/shiny_back.png
6,charizard,official_art,official-artwork,006_charizard/official_artwork.png
6,charizard,home_art,pokemon_home,006_charizard/home_art.png
7,squirtle,front,sprite,007_squirtle/front.png
7,squirtle,back,sprite,007_squirtle/back.png
7,squirtle,shiny_front,sprite,007_squirtle/shiny_front.png
7,squirtle,shiny_back,sprite,007_squirtle/shiny_back.png
7,squirtle,official_art,official-artwork,007_squirtle/official_artwork.png
7,squirtle,home_art,pokemon_home,007_squirtle/home_art.png
8,wartortle,front,sprite,008_wartortle/front.png
8,wartortle,back,sprite,008_wartortle/back.png
8,wartortle,shiny_front,sprite,008_wartortle/shiny_front.png
8,wartortle,shiny_back,sprite,008_wartortle/shiny_back.png
8,wartortle,official_art,official-artwork,008_wartortle/official_artwork.png
8,wartortle,home_art,pokemon_home,008_wartortle/home_art.png
9,blastoise,front,sprite,009_blastoise/front.png
9,blastoise,back,sprite,009_blastoise/back.png
9,blastoise,shiny_front,sprite,009_blastoise/shiny_front.png
9,blastoise,shiny_back,sprite,009_blastoise/shiny_back.png
9,blastoise,official_art,official-artwork,009_blastoise/official_artwork.png
9,blastoise,home_art,pokemon_home,009_blastoise/home_art.png
10,caterpie,front,sprite,010_caterpie/front.png
10,caterpie,back,sprite,010_caterpie/back.png
10,caterpie,shiny_front,sprite,010_caterpie/shiny_front.png
10,caterpie,shiny_back,sprite,010_caterpie/shiny_back.png
10,caterpie,official_art,official-artwork,010_caterpie/official_artwork.png
10,caterpie,home_art,pokemon_home,010_caterpie/home_art.png
11,metapod,front,sprite,011_metapod/front.png
11,metapod,back,sprite,011_metapod/back.png
11,metapod,shiny_front,sprite,011_metapod/shiny_front.png
11,metapod,shiny_back,sprite,011_metapod/shiny_back.png
11,metapod,official_art,official-artwork,011_metapod/official_artwork.png
11,metapod,home_art,pokemon_home,011_metapod/home_art.png
12,butterfree,front,sprite,012_butterfree/front.png
12,butterfree,back,sprite,012_butterfree/back.png
12,butterfree,shiny_front,sprite,012_butterfree/shiny_front.png
12,butterfree,shiny_back,sprite,012_butterfree/shiny_back.png
12,butterfree,official_art,official-artwork,012_butterfree/official_artwork.png
12,butterfree,home_art,pokemon_home,012_butterfree/home_art.png
13,weedle,front,sprite,013_weedle/front.png
13,weedle,back,sprite,013_weedle/back.png
13,weedle,shiny_front,sprite,013_weedle/shiny_front.png
13,weedle,shiny_back,sprite,013_weedle/shiny_back.png
13,weedle,official_art,official-artwork,013_weedle/official_artwork.png
13,weedle,home_art,pokemon_home,013_weedle/home_art.png
14,kakuna,front,sprite,014_kakuna/front.png
14,kakuna,back,sprite,014_kakuna/back.png
14,kakuna,shiny_front,sprite,014_kakuna/shiny_front.png
14,kakuna,shiny_back,sprite,014_kakuna/shiny_back.png
14,kakuna,official_art,official-artwork,014_kakuna/official_artwork.png
14,kakuna,home_art,pokemon_home,014_kakuna/home_art.png
15,beedrill,front,sprite,015_beedrill/front.png
15,beedrill,back,sprite,015_beedrill/back.png
15,beedrill,shiny_front,sprite,015_beedrill/shiny_front.png
15,beedrill,shiny_back,sprite,015_beedrill/shiny_back.png
15,beedrill,official_art,official-artwork,015_beedrill/official_artwork.png
15,beedrill,home_art,pokemon_home,015_beedrill/home_art.png
16,pidgey,front,sprite,016_pidgey/front.png
16,pidgey,back,sprite,016_pidgey/back.png
16,pidgey,shiny_front,sprite,016_pidgey/shiny_front.png
16,pidgey,shiny_back,sprite,016_pidgey/shiny_back.png
16,pidgey,official_art,official-artwork,016_pidgey/official_artwork.png
16,pidgey,home_art,pokemon_home,016_pidgey/home_art.png
17,pidgeotto,front,sprite,017_pidgeotto/front.png
17,pidgeotto,back,sprite,017_pidgeotto/back.png
17,pidgeotto,shiny_front,sprite,017_pidgeotto/shiny_front.png
17,pidgeotto,shiny_back,sprite,017_pidgeotto/shiny_back.png
17,pidgeotto,official_art,official-artwork,017_pidgeotto/official_artwork.png
17,pidgeotto,home_art,pokemon_home,017_pidgeotto/home_art.png
18,pidgeot,front,sprite,018_pidgeot/front.png
18,pidgeot,back,sprite,018_pidgeot/back.png
18,pidgeot,shiny_front,sprite,018_pidgeot/shiny_front.png
18,pidgeot,shiny_back,sprite,018_pidgeot/shiny_back.png
18,pidgeot,official_art,official-artwork,018_pidgeot/official_artwork.png
18,pidgeot,home_art,pokemon_home,018_pidgeot/home_art.png
19,rattata,front,sprite,019_rattata/front.png
19,rattata,back,sprite,019_rattata/back.png
19,rattata,shiny_front,sprite,019_rattata/shiny_front.png
19,rattata,shiny_back,sprite,019_rattata/shiny_back.png
19,rattata,official_art,official-artwork,019_rattata/official_artwork.png
19,rattata,home_art,pokemon_home,019_rattata/home_art.png
20,raticate,front,sprite,020_raticate/front.png
20,raticate,back,sprite,020_raticate/back.png
20,raticate,shiny_front,sprite,020_raticate/shiny_front.png
20,raticate,shiny_back,sprite,020_raticate/shiny_back.png
20,raticate,official_art,official-artwork,020_raticate/official_artwork.png
20,raticate,home_art,pokemon_home,020_raticate/home_art.png
21,spearow,front,sprite,021_spearow/front.png
21,spearow,back,sprite,021_spearow/back.png
21,spearow,shiny_front,sprite,021_spearow/shiny_front.png
21,spearow,shiny_back,sprite,021_spearow/shiny_back.png
21,spearow,official_art,official-artwork,021_spearow/official_artwork.png
21,spearow,home_art,pokemon_home,021_spearow/home_art.png
22,fearow,front,sprite,022_fearow/front.png
22,fearow,back,sprite,022_fearow/back.png
22,fearow,shiny_front,sprite,022_fearow/shiny_front.png
22,fearow,shiny_back,sprite,022_fearow/shiny_back.png
22,fearow,official_art,official-artwork,022_fearow/official_artwork.png
22,fearow,home_art,pokemon_home,022_fearow/home_art.png
23,ekans,front,sprite,023_ekans/front.png
23,ekans,back,sprite,023_ekans/back.png
23,ekans,shiny_front,sprite,023_ekans/shiny_front.png
23,ekans,shiny_back,sprite,023_ekans/shiny_back.png
23,ekans,official_art,official-artwork,023_ekans/official_artwork.png
23,ekans,home_art,pokemon_home,023_ekans/home_art.png
24,arbok,front,sprite,024_arbok/front.png
24,arbok,back,sprite,024_arbok/back.png
24,arbok,shiny_front,sprite,024_arbok/shiny_front.png
24,arbok,shiny_back,sprite,024_arbok/shiny_back.png
24,arbok,official_art,official-artwork,024_arbok/official_artwork.png
24,arbok,home_art,pokemon_home,024_arbok/home_art.png
25,pikachu,front,sprite,025_pikachu/front.png
25,pikachu,back,sprite,025_pikachu/back.png
25,pikachu,shiny_front,sprite,025_pikachu/shiny_front.png
25,pikachu,shiny_back,sprite,025_pikachu/shiny_back.png
25,pikachu,official_art,official-artwork,025_pikachu/official_artwork.png
25,pikachu,home_art,pokemon_home,025_pikachu/home_art.png
26,raichu,front,sprite,026_raichu/front.png
26,raichu,back,sprite,026_raichu/back.png
26,raichu,shiny_front,sprite,026_raichu/shiny_front.png
26,raichu,shiny_back,sprite,026_raichu/shiny_back.png
26,raichu,official_art,official-artwork,026_raichu/official_artwork.png
26,raichu,home_art,pokemon_home,026_raichu/home_art.png
27,sandshrew,front,sprite,027_sandshrew/front.png
27,sandshrew,back,sprite,027_sandshrew/back.png
27,sandshrew,shiny_front,sprite,027_sandshrew/shiny_front.png
27,sandshrew,shiny_back,sprite,027_sandshrew/shiny_back.png
27,sandshrew,official_art,official-artwork,027_sandshrew/official_artwork.png
